UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,AIRCRAFT_TYPE,MONTH
04Q,Tradewind Aviation,10154,12197,479,10
04Q,Tradewind Aviation,13541,12197,479,10
04Q,Tradewind Aviation,12197,13541,479,10
04Q,Tradewind Aviation,12197,10154,479,10
04Q,Tradewind Aviation,13731,12197,479,10
04Q,Tradewind Aviation,14769,15167,479,10
04Q,Tradewind Aviation,14996,14307,479,10
04Q,Tradewind Aviation,16454,10540,479,10
04Q,Tradewind Aviation,16856,12197,479,10
04Q,Tradewind Aviation,15656,11764,479,10
04Q,Tradewind Aviation,15855,10670,479,10
04Q,Tradewind Aviation,15879,13541,479,10
04Q,Tradewind Aviation,14306,12197,479,10
04Q,Tradewind Aviation,12250,16498,479,10
04Q,Tradewind Aviation,12250,13781,479,10
04Q,Tradewind Aviation,14875,11764,479,10
04Q,Tradewind Aviation,14875,12197,479,10
04Q,Tradewind Aviation,14875,15167,479,10
04Q,Tradewind Aviation,14259,11486,479,10
04Q,Tradewind Aviation,14259,15167,479,10
04Q,Tradewind Aviation,14539,10721,479,10
04Q,Tradewind Aviation,10589,15167,479,10
04Q,Tradewind Aviation,10589,15879,479,10
04Q,Tradewind Aviation,12932,10613,479,10
04Q,Tradewind Aviation,12932,12264,479,10
04Q,Tradewind Aviation,12932,12197,479,10
04Q,Tradewind Aviation,12932,11728,479,10
04Q,Tradewind Aviation,14696,13398,479,10
04Q,Tradewind Aviation,10154,13398,479,10
04Q,Tradewind Aviation,10154,10135,479,10
04Q,Tradewind Aviation,10154,12953,479,10
04Q,Tradewind Aviation,10154,11764,479,10
04Q,Tradewind Aviation,10154,12197,479,10
04Q,Tradewind Aviation,10154,10721,479,10
04Q,Tradewind Aviation,10154,15167,479,10
04Q,Tradewind Aviation,10154,11106,479,10
04Q,Tradewind Aviation,10154,11675,479,10
04Q,Tradewind Aviation,10154,13731,479,10
04Q,Tradewind Aviation,10670,11961,479,10
04Q,Tradewind Aviation,10670,12197,479,10
04Q,Tradewind Aviation,10815,11764,479,10
04Q,Tradewind Aviation,10815,10975,479,10
04Q,Tradewind Aviation,11728,12932,479,10
04Q,Tradewind Aviation,11728,14307,479,10
04Q,Tradewind Aviation,11728,10975,479,10
04Q,Tradewind Aviation,11728,14769,479,10
04Q,Tradewind Aviation,12916,11764,479,10
04Q,Tradewind Aviation,13398,10154,479,10
04Q,Tradewind Aviation,13398,14696,479,10
04Q,Tradewind Aviation,13398,14307,479,10
04Q,Tradewind Aviation,13535,12250,479,10
04Q,Tradewind Aviation,13535,12197,479,10
04Q,Tradewind Aviation,13541,16442,479,10
04Q,Tradewind Aviation,13541,13984,479,10
04Q,Tradewind Aviation,13541,12264,479,10
04Q,Tradewind Aviation,13541,12197,479,10
04Q,Tradewind Aviation,13541,10721,479,10
04Q,Tradewind Aviation,13541,15167,479,10
04Q,Tradewind Aviation,13541,14986,479,10
04Q,Tradewind Aviation,13541,15879,479,10
04Q,Tradewind Aviation,13984,12197,479,10
04Q,Tradewind Aviation,13987,15096,479,10
04Q,Tradewind Aviation,13987,14492,479,10
04Q,Tradewind Aviation,13230,12197,479,10
04Q,Tradewind Aviation,10821,12222,479,10
04Q,Tradewind Aviation,10821,10540,479,10
04Q,Tradewind Aviation,10990,10478,479,10
04Q,Tradewind Aviation,10990,10540,479,10
04Q,Tradewind Aviation,10990,12197,479,10
04Q,Tradewind Aviation,15096,10721,479,10
04Q,Tradewind Aviation,15096,15167,479,10
04Q,Tradewind Aviation,10158,10540,479,10
04Q,Tradewind Aviation,12898,15356,479,10
04Q,Tradewind Aviation,15356,12898,479,10
04Q,Tradewind Aviation,12391,10721,479,10
04Q,Tradewind Aviation,14492,13987,479,10
04Q,Tradewind Aviation,10647,15167,479,10
04Q,Tradewind Aviation,14574,13321,479,10
04Q,Tradewind Aviation,14100,12222,479,10
04Q,Tradewind Aviation,14100,11764,479,10
04Q,Tradewind Aviation,14100,12478,479,10
04Q,Tradewind Aviation,14100,14524,479,10
04Q,Tradewind Aviation,14100,13731,479,10
04Q,Tradewind Aviation,14307,14996,479,10
04Q,Tradewind Aviation,14307,12197,479,10
04Q,Tradewind Aviation,14307,11728,479,10
04Q,Tradewind Aviation,12264,13541,479,10
04Q,Tradewind Aviation,12264,12932,479,10
04Q,Tradewind Aviation,12264,15167,479,10
04Q,Tradewind Aviation,11961,10670,479,10
04Q,Tradewind Aviation,12953,11106,479,10
04Q,Tradewind Aviation,11764,10154,479,10
04Q,Tradewind Aviation,11764,10815,479,10
04Q,Tradewind Aviation,11764,13282,479,10
04Q,Tradewind Aviation,11764,16503,479,10
04Q,Tradewind Aviation,11764,15656,479,10
04Q,Tradewind Aviation,10540,12222,479,10
04Q,Tradewind Aviation,10540,10135,479,10
04Q,Tradewind Aviation,10540,10821,479,10
04Q,Tradewind Aviation,10540,10990,479,10
04Q,Tradewind Aviation,10540,10158,479,10
04Q,Tradewind Aviation,10540,11764,479,10
04Q,Tradewind Aviation,10540,15167,479,10
04Q,Tradewind Aviation,10540,13493,479,10
04Q,Tradewind Aviation,10540,16454,479,10
04Q,Tradewind Aviation,11537,10540,479,10
04Q,Tradewind Aviation,11537,15167,479,10
04Q,Tradewind Aviation,12197,13832,479,10
